State,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population,YEAR
Delaware (DE),$739 ,$861 ,"$1,058 ","$1,425 ","$1,628 ","897,934",2016
District of Columbia (DC),"$1,307 ","$1,402 ","$1,623 ","$2,144 ","$2,726 ","601,723",2016
Florida (FL),$617 ,$689 ,$848 ,"$1,141 ","$1,337 ","18,801,310",2016
Georgia (GA),$557 ,$591 ,$731 ,$979 ,"$1,165 ","9,687,653",2016
Guam (GU),$657 ,$708 ,$948 ,"$1,382 ","$1,655 ","159,358",2016
Hawaii (HI),$915 ,"$1,070 ","$1,356 ","$1,901 ","$2,186 ","1,360,301",2016
Idaho (ID),$500 ,$537 ,$692 ,$951 ,"$1,170 ","1,567,582",2016
Illinois (IL),$485 ,$562 ,$722 ,$943 ,"$1,079 ","12,716,708",2016
Indiana (IN),$487 ,$556 ,$714 ,$939 ,"$1,068 ","6,483,802",2016
Iowa (IA),$455 ,$511 ,$659 ,$876 ,$967 ,"3,046,355",2016
Kansas (KS),$487 ,$537 ,$697 ,$923 ,"$1,048 ","2,853,118",2016
Kentucky (KY),$475 ,$529 ,$674 ,$903 ,"$1,021 ","4,339,367",2016
Louisiana (LA),$517 ,$577 ,$715 ,$934 ,"$1,094 ","4,533,372",2016
Maine (ME),$565 ,$625 ,$767 ,$999 ,"$1,117 ","1,328,355",2016
Maryland (MD),$827 ,$949 ,"$1,165 ","$1,521 ","$1,840 ","5,773,552",2016
